transaction_id,customer_id,timestamp,transaction_type,amount,merchant_category,device_type,location,processing_time_ms,is_fraud
TXN0000024174,CUST004409,2025-10-16 17:59:37,Card_Payment,1781.42,Fuel,ATM,Kolkata,1199.6,0
TXN0000023798,CUST004338,2025-08-07 14:42:37,RTGS,1234314.23,Food,Web_Desktop,Mumbai,293.24,0
TXN0000007744,CUST001418,2025-10-30 20:48:34,NEFT,455891.75,Education,Mobile_iOS,Hyderabad,1529.76,0
TXN0000008726,CUST001591,2025-08-07 02:50:34,UPI,21803.24,Fuel,ATM,Kolkata,1844.75,0
TXN0000021086,CUST003830,2025-10-11 22:09:37,NEFT,118313.05,Online_Shopping,Mobile_iOS,Kolkata,1767.21,0
TXN0000019729,CUST003587,2025-08-10 01:46:36,UPI,45483.19,Retail,Mobile_iOS,Hyderabad,1538.27,0
TXN0000018792,CUST003410,2025-08-08 15:07:36,Card_Payment,51582.61,Online_Shopping,Mobile_iOS,Chennai,1778.86,0
TXN0000008797,CUST001600,2025-10-18 17:48:34,UPI,42729.49,Retail,Mobile_iOS,Bangalore,1484.57,0
TXN0000026555,CUST004849,2025-09-06 10:57:38,IMPS,175025.63,Entertainment,Web_Mobile,Hyderabad,725.18,0
TXN0000014101,CUST002568,2025-10-04 09:37:35,UPI,40007.48,Education,Web_Mobile,Hyderabad,1800.91,0
TXN0000009110,CUST001663,2025-10-31 22:17:34,NEFT,132465.83,Healthcare,ATM,Chennai,1806.82,0
TXN0000013730,CUST002498,2025-08-08 15:20:35,UPI,34849.38,Retail,Mobile_Android,Mumbai,1667.19,0
TXN0000001449,CUST000259,2025-09-28 18:55:32,ATM_Withdrawal,10000.0,Education,Web_Desktop,Hyderabad,699.75,0
TXN0000008674,CUST001581,2025-09-08 14:23:34,IMPS,154863.96,Food,ATM,Hyderabad,1735.17,0
TXN0000006464,CUST001187,2025-08-20 08:25:33,UPI,42754.01,Retail,Web_Mobile,Mumbai,212.94,0
TXN0000012429,CUST002262,2025-09-28 10:44:35,IMPS,187995.77,Other,Web_Mobile,Chennai,1571.98,0
TXN0000012566,CUST002287,2025-08-06 17:26:35,RTGS,352836.87,Food,Mobile_Android,Mumbai,1923.58,0
TXN0000001445,CUST000259,2025-09-28 11:00:32,UPI,22891.9,Retail,ATM,Hyderabad,1572.52,0
TXN0000026777,CUST004885,2025-10-10 13:37:38,UPI,4175.11,Entertainment,Mobile_iOS,Chennai,1332.08,0
TXN0000008138,CUST001488,2025-10-31 10:38:34,Card_Payment,51896.51,Healthcare,ATM,Delhi,1804.37,0
TXN0000020237,CUST003674,2025-08-21 03:11:36,UPI,4604.94,Fuel,ATM,Bangalore,560.36,0
TXN0000025522,CUST004644,2025-08-31 05:59:37,Card_Payment,67684.6,Entertainment,Mobile_Android,Pune,1902.27,0
TXN0000014007,CUST002552,2025-08-28 17:22:35,RTGS,1958552.65,Healthcare,Mobile_iOS,Delhi,272.5,0
TXN0000003230,CUST000587,2025-09-01 08:34:33,RTGS,892633.9,Entertainment,Web_Desktop,Delhi,1683.47,0
TXN0000001123,CUST000206,2025-08-12 15:29:32,Card_Payment,88302.28,Travel,Web_Desktop,Ahmedabad,766.03,0
TXN0000003198,CUST000581,2025-08-07 21:21:33,RTGS,374601.88,Utilities,Mobile_iOS,Mumbai,1830.03,0
TXN0000010317,CUST001888,2025-10-10 12:27:34,UPI,17793.08,Healthcare,ATM,Chennai,1437.24,0
TXN0000017013,CUST003095,2025-09-16 01:58:36,NEFT,152591.91,Retail,Web_Mobile,Bangalore,438.68,1
TXN0000024551,CUST004477,2025-08-24 13:43:37,RTGS,1465873.36,Healthcare,Web_Desktop,Mumbai,352.8,0
TXN0000018574,CUST003377,2025-10-22 13:41:36,RTGS,544051.32,Travel,Mobile_iOS,Delhi,1573.76,0
TXN0000015940,CUST002903,2025-10-25 22:18:35,Card_Payment,42987.89,Other,Web_Desktop,Ahmedabad,715.48,0
TXN0000014688,CUST002664,2025-11-02 13:20:35,UPI,27371.44,Education,ATM,Kolkata,913.59,0
TXN0000012037,CUST002198,2025-10-05 07:20:35,Card_Payment,64545.73,Other,Mobile_iOS,Pune,1498.04,0
TXN0000013370,CUST002430,2025-08-06 14:28:35,UPI,13420.74,Food,Mobile_Android,Pune,1062.38,0
TXN0000003691,CUST000665,2025-10-26 21:51:33,IMPS,167164.56,Utilities,ATM,Kolkata,493.85,0
TXN0000013838,CUST002522,2025-10-11 04:52:35,NEFT,12745.08,Utilities,ATM,Ahmedabad,837.33,0
TXN0000008052,CUST001473,2025-10-23 13:06:34,IMPS,13711.35,Retail,Mobile_Android,Pune,497.5,1
TXN0000019637,CUST003567,2025-08-26 21:50:36,NEFT,440985.11,Other,ATM,Bangalore,1775.97,0
TXN0000013596,CUST002472,2025-08-27 05:32:35,RTGS,1310929.76,Travel,Web_Desktop,Delhi,1943.88,0
TXN0000024313,CUST004434,2025-09-22 19:44:37,IMPS,94550.74,Travel,Mobile_Android,Hyderabad,1636.92,0
TXN0000011312,CUST002064,2025-10-09 02:20:34,NEFT,382286.28,Education,ATM,Mumbai,1273.49,0
TXN0000006391,CUST001175,2025-09-28 20:31:33,IMPS,157649.31,Utilities,ATM,Pune,1378.83,0
TXN0000024392,CUST004448,2025-10-26 00:04:37,IMPS,74969.17,Utilities,Web_Desktop,Delhi,143.76,1
TXN0000010005,CUST001832,2025-10-19 22:57:34,RTGS,1499105.89,Food,Web_Desktop,Chennai,926.66,0
TXN0000019876,CUST003614,2025-09-29 23:56:36,Card_Payment,70111.92,Retail,ATM,Kolkata,1970.21,0
TXN0000008959,CUST001630,2025-08-09 21:49:34,IMPS,125333.05,Fuel,Mobile_Android,Chennai,204.97,1
TXN0000015641,CUST002852,2025-09-23 18:49:35,UPI,4137.76,Education,Web_Desktop,Chennai,1676.63,0
TXN0000003452,CUST000625,2025-10-12 01:06:33,RTGS,236068.69,Healthcare,Web_Desktop,Hyderabad,1215.06,0
TXN0000021022,CUST003818,2025-08-07 11:52:37,RTGS,1816485.82,Entertainment,Mobile_iOS,Bangalore,550.1,0
TXN0000005562,CUST001025,2025-08-12 02:02:33,Card_Payment,27139.18,Other,Mobile_Android,Kolkata,812.33,0
TXN0000017367,CUST003164,2025-09-14 08:33:36,UPI,26386.43,Education,Web_Desktop,Chennai,1581.63,0
TXN0000025436,CUST004628,2025-08-10 05:07:37,IMPS,103541.46,Fuel,ATM,Delhi,714.73,0
TXN0000025179,CUST004584,2025-08-30 11:24:37,UPI,26133.38,Entertainment,Mobile_iOS,Kolkata,791.61,0
TXN0000005872,CUST001080,2025-10-17 21:35:33,Card_Payment,98928.96,Healthcare,Web_Desktop,Chennai,610.34,0
TXN0000004344,CUST000787,2025-10-10 00:29:33,UPI,13320.37,Other,ATM,Kolkata,439.44,0
TXN0000004746,CUST000866,2025-09-23 10:46:33,Card_Payment,18985.72,Entertainment,Web_Desktop,Hyderabad,690.48,0
TXN0000005706,CUST001053,2025-09-09 14:12:33,Card_Payment,12478.96,Fuel,Web_Mobile,International,416.06,0
TXN0000024785,CUST004515,2025-08-27 15:03:37,NEFT,46644.62,Education,Web_Desktop,Bangalore,1152.98,0
TXN0000019657,CUST003570,2025-09-22 18:26:36,IMPS,138824.34,Entertainment,Mobile_iOS,Hyderabad,1005.9,0
TXN0000010821,CUST001974,2025-08-08 10:54:34,RTGS,619705.27,Entertainment,Mobile_iOS,Bangalore,143.59,1
TXN0000018082,CUST003292,2025-09-10 15:36:36,NEFT,209763.11,Online_Shopping,Mobile_Android,Pune,328.95,0
TXN0000001890,CUST000348,2025-08-16 10:31:32,RTGS,544395.1,Travel,Web_Desktop,Chennai,376.97,0
TXN0000023193,CUST004225,2025-09-02 18:24:37,ATM_Withdrawal,10000.0,Other,Web_Desktop,Ahmedabad,394.63,1
TXN0000019985,CUST003630,2025-08-25 14:01:36,ATM_Withdrawal,2000.0,Education,Web_Mobile,Delhi,1689.78,0
TXN0000014262,CUST002599,2025-08-07 07:21:35,NEFT,264003.5,Fuel,Web_Desktop,Pune,1641.57,0
TXN0000007568,CUST001389,2025-09-11 21:35:34,RTGS,983308.22,Entertainment,Web_Mobile,Ahmedabad,859.66,0
TXN0000016729,CUST003047,2025-09-18 16:37:36,Card_Payment,66542.43,Online_Shopping,Mobile_Android,Pune,1438.21,0
TXN0000003980,CUST000718,2025-09-25 06:45:33,IMPS,25935.86,Travel,ATM,Pune,923.79,0
TXN0000006165,CUST001133,2025-08-07 12:23:33,NEFT,65372.66,Entertainment,Mobile_Android,Delhi,1691.15,0
TXN0000012619,CUST002299,2025-10-26 01:32:35,NEFT,206660.42,Food,Web_Desktop,Mumbai,1931.07,0
TXN0000023217,CUST004227,2025-08-22 17:09:37,NEFT,280337.86,Retail,Mobile_Android,Ahmedabad,202.73,0
TXN0000026441,CUST004825,2025-08-12 20:04:38,RTGS,611621.43,Retail,ATM,Kolkata,1911.77,0
TXN0000010126,CUST001854,2025-10-30 00:14:34,UPI,9917.67,Travel,Mobile_Android,Chennai,1096.99,0
TXN0000011960,CUST002183,2025-09-27 15:57:35,Card_Payment,77302.33,Other,Mobile_iOS,Kolkata,296.64,0
TXN0000000100,CUST000022,2025-08-08 14:42:32,IMPS,197333.08,Travel,ATM,Kolkata,741.02,0
TXN0000021413,CUST003889,2025-10-05 13:09:37,IMPS,146081.53,Entertainment,ATM,Mumbai,809.79,0
TXN0000013755,CUST002505,2025-10-28 00:33:35,IMPS,175699.48,Entertainment,Mobile_Android,Kolkata,207.93,0
TXN0000018430,CUST003350,2025-09-05 03:34:36,UPI,4602.85,Food,Web_Mobile,Mumbai,881.21,0
TXN0000027406,CUST004998,2025-08-31 11:44:38,IMPS,9274.29,Fuel,Mobile_Android,Kolkata,1377.78,0
TXN0000023199,CUST004226,2025-09-08 06:45:37,IMPS,188813.67,Online_Shopping,Web_Desktop,Ahmedabad,1166.41,0
TXN0000026467,CUST004832,2025-08-24 14:04:38,NEFT,25158.72,Healthcare,Web_Mobile,Pune,666.84,0
TXN0000015436,CUST002813,2025-09-10 06:11:35,NEFT,469123.88,Retail,Mobile_Android,Delhi,509.73,0
TXN0000001806,CUST000332,2025-09-11 12:10:32,UPI,11642.07,Food,Web_Mobile,Mumbai,637.62,0
TXN0000020898,CUST003796,2025-11-02 15:47:36,UPI,28848.0,Online_Shopping,Web_Mobile,Delhi,208.38,0
TXN0000015668,CUST002856,2025-09-11 17:39:35,UPI,31710.14,Online_Shopping,ATM,Mumbai,1924.4,0
TXN0000019699,CUST003582,2025-10-05 15:34:36,Card_Payment,1402.43,Fuel,Web_Mobile,Hyderabad,398.01,1
TXN0000015817,CUST002885,2025-09-24 12:14:35,IMPS,2001.59,Utilities,Web_Desktop,Hyderabad,770.62,0
TXN0000017465,CUST003185,2025-10-16 01:09:36,UPI,15219.22,Entertainment,Web_Mobile,International,201.22,1
TXN0000014801,CUST002686,2025-10-25 14:37:35,NEFT,216972.57,Food,Web_Mobile,Mumbai,1523.22,0
TXN0000010799,CUST001972,2025-09-28 21:34:34,IMPS,104036.07,Food,Web_Mobile,Mumbai,1129.38,0
TXN0000021374,CUST003882,2025-09-27 10:28:37,UPI,24184.61,Healthcare,Web_Mobile,Delhi,423.11,0
TXN0000015595,CUST002844,2025-10-25 02:01:35,IMPS,37528.5,Utilities,Mobile_iOS,Pune,1172.35,0
TXN0000015988,CUST002912,2025-08-16 09:40:35,UPI,21007.33,Entertainment,Mobile_iOS,Mumbai,749.28,0
TXN0000000429,CUST000086,2025-09-17 19:03:32,UPI,14061.19,Online_Shopping,Web_Desktop,Kolkata,1483.45,0
TXN0000023017,CUST004183,2025-09-21 15:25:37,UPI,46523.8,Food,Web_Desktop,Bangalore,394.54,0
TXN0000010409,CUST001903,2025-08-16 00:18:34,UPI,7091.87,Online_Shopping,Web_Desktop,Delhi,455.54,0
TXN0000020763,CUST003769,2025-10-30 00:47:36,IMPS,70951.29,Fuel,Web_Mobile,Bangalore,656.87,0
TXN0000013115,CUST002386,2025-09-06 07:21:35,UPI,11734.34,Education,Web_Mobile,Kolkata,1195.46,0
TXN0000006858,CUST001263,2025-08-11 21:02:34,IMPS,8066.12,Food,Mobile_Android,Hyderabad,759.71,0
TXN0000015667,CUST002856,2025-08-09 02:09:35,UPI,23955.2,Entertainment,Web_Mobile,Bangalore,1900.69,0
TXN0000010273,CUST001881,2025-08-22 09:03:34,UPI,7934.32,Entertainment,ATM,Kolkata,1679.53,0
TXN0000006401,CUST001177,2025-10-09 23:58:33,RTGS,1291503.52,Utilities,Web_Mobile,Mumbai,1721.04,0
TXN0000012481,CUST002271,2025-09-14 15:00:35,Card_Payment,48727.34,Other,ATM,Hyderabad,1981.93,0
TXN0000011097,CUST002026,2025-08-22 22:36:34,RTGS,1761719.69,Education,Mobile_Android,Delhi,1406.0,0
TXN0000000627,CUST000123,2025-08-28 22:00:32,IMPS,53123.04,Education,Web_Mobile,Chennai,1455.89,0
TXN0000002301,CUST000425,2025-10-13 04:38:33,IMPS,86106.54,Other,Mobile_Android,Delhi,1688.23,0
TXN0000008455,CUST001543,2025-10-06 10:54:34,NEFT,190904.14,Retail,Web_Mobile,Ahmedabad,1030.12,0
TXN0000008744,CUST001593,2025-09-21 23:46:34,UPI,18975.04,Retail,ATM,Mumbai,1410.57,0
TXN0000020231,CUST003674,2025-08-20 06:30:36,UPI,4484.34,Online_Shopping,Web_Mobile,Chennai,951.77,0
TXN0000019084,CUST003469,2025-09-27 22:20:36,NEFT,12519.85,Fuel,ATM,Mumbai,724.82,0
TXN0000014082,CUST002565,2025-10-22 13:55:35,UPI,31540.25,Online_Shopping,Web_Mobile,Pune,1867.94,0
TXN0000024360,CUST004442,2025-10-14 11:30:37,RTGS,363713.87,Other,Web_Mobile,Mumbai,212.04,0
TXN0000026278,CUST004797,2025-08-09 15:51:38,RTGS,1280225.08,Education,Mobile_Android,Delhi,936.21,0
TXN0000017595,CUST003206,2025-08-16 11:12:36,IMPS,110325.92,Other,Web_Mobile,Ahmedabad,357.06,1
TXN0000012841,CUST002339,2025-09-24 10:17:35,UPI,21668.62,Travel,Web_Desktop,Other,812.48,0
TXN0000000517,CUST000104,2025-10-05 11:26:32,RTGS,274872.92,Travel,Web_Desktop,Bangalore,1379.13,0
TXN0000024158,CUST004406,2025-09-20 14:48:37,UPI,32627.45,Food,Web_Mobile,Pune,1139.06,0
TXN0000005395,CUST000993,2025-08-29 02:52:33,IMPS,57397.59,Healthcare,Web_Desktop,Delhi,480.11,0
TXN0000008318,CUST001518,2025-08-11 01:28:34,ATM_Withdrawal,10000.0,Utilities,Web_Mobile,Hyderabad,1941.43,0
TXN0000025486,CUST004638,2025-09-18 03:14:37,UPI,12461.99,Retail,Web_Mobile,Mumbai,370.65,0
TXN0000021697,CUST003943,2025-08-10 04:17:37,UPI,38271.47,Online_Shopping,Mobile_Android,Mumbai,1813.55,0
TXN0000009321,CUST001704,2025-08-15 21:34:34,RTGS,1903356.92,Fuel,Web_Mobile,Chennai,1852.86,0
TXN0000026581,CUST004853,2025-09-09 19:38:38,UPI,19420.24,Retail,Web_Mobile,Delhi,1075.03,0
TXN0000009310,CUST001703,2025-08-30 12:33:34,ATM_Withdrawal,5000.0,Retail,Mobile_iOS,Ahmedabad,521.5,0
TXN0000001973,CUST000362,2025-09-16 22:40:32,NEFT,470435.72,Retail,Web_Mobile,Ahmedabad,579.18,0
TXN0000017898,CUST003257,2025-10-04 19:22:36,Card_Payment,29346.99,Online_Shopping,Web_Desktop,Other,828.8,0
TXN0000009646,CUST001764,2025-08-17 18:46:34,NEFT,142396.33,Fuel,Web_Mobile,Pune,587.64,0
TXN0000003754,CUST000675,2025-10-02 21:37:33,IMPS,145911.49,Utilities,Web_Mobile,Ahmedabad,347.28,0
TXN0000008478,CUST001549,2025-09-28 22:33:34,Card_Payment,24498.0,Fuel,Mobile_iOS,International,459.67,1
TXN0000000274,CUST000058,2025-08-25 01:37:32,Card_Payment,90378.61,Other,Mobile_iOS,Hyderabad,1036.75,0
TXN0000010958,CUST001998,2025-09-08 20:35:34,ATM_Withdrawal,20000.0,Education,Web_Desktop,Bangalore,289.68,0
TXN0000012755,CUST002322,2025-09-03 03:30:35,ATM_Withdrawal,10000.0,Healthcare,Web_Mobile,Mumbai,1293.21,0
TXN0000002725,CUST000495,2025-10-22 21:12:33,ATM_Withdrawal,2000.0,Healthcare,Mobile_Android,Delhi,1031.13,0
TXN0000018767,CUST003407,2025-09-16 01:58:36,NEFT,32071.68,Other,Mobile_iOS,Pune,356.33,0
TXN0000024545,CUST004477,2025-08-08 12:04:37,IMPS,6392.79,Education,Web_Mobile,Mumbai,1568.05,0
TXN0000014056,CUST002561,2025-08-28 06:36:35,UPI,15529.22,Education,Web_Mobile,Delhi,1061.89,0
TXN0000020762,CUST003769,2025-09-27 00:07:36,NEFT,265991.54,Online_Shopping,Web_Desktop,Bangalore,1964.88,0
TXN0000012126,CUST002216,2025-10-19 01:50:35,NEFT,59295.39,Food,Web_Desktop,Mumbai,597.16,0
TXN0000006975,CUST001285,2025-10-11 21:27:34,UPI,42266.28,Food,Mobile_iOS,Bangalore,641.22,0
TXN0000005408,CUST000995,2025-08-27 18:47:33,NEFT,386179.57,Healthcare,Web_Mobile,Pune,1970.2,0
TXN0000005999,CUST001104,2025-11-02 13:26:33,NEFT,62620.06,Fuel,Mobile_Android,Bangalore,1153.68,0
TXN0000005338,CUST000981,2025-08-20 17:43:33,UPI,834.43,Utilities,ATM,Pune,1973.22,0
TXN0000002241,CUST000415,2025-09-01 22:57:33,RTGS,535101.85,Online_Shopping,ATM,Ahmedabad,1317.92,0
TXN0000025890,CUST004717,2025-09-26 18:25:38,UPI,38867.54,Online_Shopping,Web_Mobile,Delhi,688.44,0
TXN0000017113,CUST003117,2025-09-25 08:31:36,NEFT,308653.95,Entertainment,Web_Desktop,Delhi,835.62,0
TXN0000006815,CUST001256,2025-10-09 03:27:34,UPI,20100.7,Retail,Mobile_Android,Pune,1693.43,0
TXN0000015312,CUST002790,2025-09-01 03:17:35,IMPS,160056.74,Healthcare,Mobile_Android,Pune,1345.71,0
TXN0000026127,CUST004767,2025-09-21 17:45:38,UPI,19584.87,Other,Web_Desktop,Chennai,451.52,0
TXN0000001685,CUST000309,2025-08-28 14:07:32,Card_Payment,76702.28,Utilities,Mobile_iOS,Hyderabad,698.26,0
TXN0000006011,CUST001106,2025-11-02 22:49:33,NEFT,459383.06,Retail,ATM,Chennai,778.12,0
TXN0000018249,CUST003315,2025-11-02 16:03:36,Card_Payment,90584.04,Fuel,Mobile_Android,Delhi,1995.66,0
TXN0000013488,CUST002452,2025-09-01 14:14:35,UPI,37531.93,Retail,ATM,Hyderabad,1045.21,0
TXN0000016208,CUST002945,2025-10-09 16:56:35,Card_Payment,29648.19,Food,Web_Mobile,Ahmedabad,582.13,0
TXN0000007709,CUST001411,2025-10-31 06:10:34,NEFT,353406.18,Online_Shopping,ATM,Kolkata,1479.55,0
TXN0000020750,CUST003765,2025-09-01 16:54:36,IMPS,187524.48,Healthcare,Web_Desktop,Mumbai,955.75,0
TXN0000003698,CUST000665,2025-08-16 11:05:33,IMPS,99403.95,Food,Web_Desktop,Kolkata,1037.68,0
TXN0000002716,CUST000494,2025-10-20 02:09:33,IMPS,143686.49,Education,Mobile_Android,Delhi,1859.97,0
TXN0000009971,CUST001826,2025-10-28 17:26:34,UPI,41296.98,Travel,ATM,Chennai,1522.53,0
TXN0000003266,CUST000592,2025-10-02 16:01:33,IMPS,121191.51,Travel,Mobile_Android,Chennai,953.19,0
TXN0000007628,CUST001397,2025-09-19 07:15:34,NEFT,140632.61,Education,Mobile_Android,Kolkata,1729.15,0
TXN0000024746,CUST004510,2025-09-09 20:54:37,UPI,17676.14,Food,Web_Desktop,Hyderabad,1483.97,0
TXN0000024415,CUST004452,2025-08-28 00:46:37,ATM_Withdrawal,20000.0,Entertainment,Web_Mobile,Pune,1391.33,0
TXN0000014282,CUST002601,2025-09-03 05:49:35,UPI,29570.91,Travel,Mobile_iOS,Kolkata,1131.93,0
TXN0000005450,CUST001004,2025-09-01 09:53:33,IMPS,40309.19,Retail,Mobile_Android,Pune,810.91,0
TXN0000025789,CUST004694,2025-10-29 19:56:38,NEFT,187876.13,Fuel,Web_Desktop,Chennai,234.24,0
TXN0000024147,CUST004404,2025-08-20 07:47:37,RTGS,833762.05,Online_Shopping,Web_Mobile,Pune,1963.54,0
TXN0000013244,CUST002408,2025-09-28 21:26:35,NEFT,306325.74,Education,Mobile_Android,Kolkata,354.43,0
TXN0000023130,CUST004209,2025-09-19 00:00:37,Card_Payment,56113.8,Online_Shopping,Web_Desktop,Mumbai,1487.7,0
TXN0000010736,CUST001961,2025-08-27 07:43:34,IMPS,51832.63,Other,Mobile_iOS,Delhi,1434.18,0
TXN0000020435,CUST003708,2025-10-26 20:47:36,UPI,36968.67,Travel,Mobile_Android,Delhi,1034.27,0
TXN0000016138,CUST002934,2025-08-09 13:14:35,IMPS,120371.41,Travel,Mobile_iOS,Hyderabad,572.77,0
TXN0000022390,CUST004074,2025-08-07 14:17:37,UPI,29731.17,Other,Web_Mobile,Ahmedabad,1133.24,0
TXN0000017231,CUST003138,2025-08-08 03:24:36,RTGS,1064213.16,Travel,Mobile_Android,Mumbai,1699.14,0
TXN0000019495,CUST003542,2025-08-27 02:50:36,NEFT,392298.7,Fuel,Mobile_iOS,Hyderabad,1951.0,0
TXN0000014818,CUST002692,2025-08-31 19:03:35,IMPS,55256.33,Utilities,Web_Desktop,Bangalore,946.4,0
TXN0000005972,CUST001096,2025-09-03 19:37:33,IMPS,97040.33,Food,Web_Mobile,Bangalore,314.08,0
TXN0000002885,CUST000524,2025-10-08 21:59:33,UPI,11091.81,Utilities,Mobile_Android,Delhi,1156.62,0
TXN0000001367,CUST000243,2025-09-06 14:16:32,UPI,38266.14,Fuel,Web_Mobile,Mumbai,538.14,0
TXN0000006532,CUST001202,2025-10-30 01:23:33,IMPS,88228.57,Food,Web_Desktop,Chennai,1945.29,0
TXN0000024594,CUST004485,2025-10-15 22:04:37,RTGS,1676802.26,Food,ATM,Ahmedabad,209.29,1
TXN0000004878,CUST000890,2025-09-18 06:18:33,UPI,45709.2,Travel,ATM,Other,913.2,0
TXN0000014145,CUST002576,2025-09-28 12:05:35,ATM_Withdrawal,20000.0,Food,Web_Mobile,Ahmedabad,434.76,0
TXN0000005845,CUST001075,2025-10-14 05:23:33,IMPS,64649.99,Entertainment,Web_Mobile,Chennai,1003.89,0
TXN0000016430,CUST002990,2025-10-25 01:45:36,NEFT,470656.32,Entertainment,Mobile_Android,Mumbai,1572.09,0
TXN0000000734,CUST000141,2025-11-02 00:28:32,NEFT,92498.73,Retail,Mobile_Android,Bangalore,1505.67,0
TXN0000023970,CUST004375,2025-08-31 13:29:37,RTGS,492700.18,Online_Shopping,ATM,Mumbai,1552.72,0
TXN0000006605,CUST001216,2025-08-27 10:51:33,NEFT,147305.79,Online_Shopping,Mobile_Android,Kolkata,1868.07,0
TXN0000007389,CUST001358,2025-09-25 12:42:34,Card_Payment,40530.69,Food,Mobile_Android,Chennai,1106.91,0
TXN0000021233,CUST003856,2025-09-10 11:23:37,IMPS,58901.32,Food,Web_Desktop,Bangalore,1874.21,0
TXN0000016794,CUST003059,2025-10-17 04:07:36,RTGS,1222008.71,Online_Shopping,Web_Desktop,Hyderabad,1157.49,0
TXN0000023995,CUST004379,2025-10-13 02:00:37,UPI,25046.65,Food,Mobile_iOS,Ahmedabad,1493.91,0
TXN0000002981,CUST000542,2025-09-10 06:51:33,UPI,47628.6,Education,Web_Desktop,Delhi,427.22,0
TXN0000027030,CUST004933,2025-10-23 22:27:38,Card_Payment,41373.19,Utilities,Web_Desktop,Hyderabad,1404.62,0
TXN0000007256,CUST001338,2025-10-26 16:27:34,Card_Payment,11880.25,Food,ATM,Chennai,542.32,0
TXN0000018663,CUST003391,2025-08-15 14:00:36,UPI,21182.07,Retail,ATM,Mumbai,1237.61,0
TXN0000008923,CUST001623,2025-10-31 03:42:34,UPI,27532.42,Retail,Web_Desktop,Kolkata,247.26,0
TXN0000019413,CUST003529,2025-09-16 13:50:36,ATM_Withdrawal,5000.0,Travel,Web_Mobile,Bangalore,293.97,1
TXN0000013632,CUST002481,2025-09-19 02:21:35,UPI,40356.94,Retail,Mobile_Android,Delhi,1706.18,0
TXN0000012153,CUST002220,2025-08-15 03:57:35,IMPS,8987.59,Other,Mobile_Android,Kolkata,422.53,1
TXN0000024221,CUST004420,2025-08-21 13:14:37,IMPS,161786.02,Online_Shopping,ATM,Bangalore,427.67,0
TXN0000020723,CUST003759,2025-09-28 20:37:36,UPI,36924.47,Education,Mobile_iOS,Kolkata,1324.83,0
TXN0000015681,CUST002858,2025-10-04 15:34:35,UPI,45615.46,Travel,ATM,Chennai,1683.68,0
TXN0000002497,CUST000459,2025-09-10 08:03:33,NEFT,346683.27,Fuel,Web_Desktop,Bangalore,1277.03,0
TXN0000027169,CUST004957,2025-10-17 00:46:38,RTGS,955857.27,Food,Web_Mobile,Mumbai,1358.96,0
TXN0000017035,CUST003101,2025-10-20 12:58:36,NEFT,303591.37,Food,Web_Mobile,Bangalore,1474.28,0
TXN0000003422,CUST000619,2025-10-23 20:21:33,IMPS,95335.19,Online_Shopping,ATM,Kolkata,735.46,0
TXN0000005688,CUST001049,2025-08-28 00:51:33,NEFT,407466.23,Retail,Mobile_Android,Bangalore,691.62,0
TXN0000002394,CUST000440,2025-10-24 19:28:33,Card_Payment,93625.58,Entertainment,Mobile_Android,Hyderabad,1839.08,0
TXN0000014921,CUST002710,2025-09-26 13:14:35,NEFT,474818.35,Online_Shopping,ATM,Delhi,369.6,0
TXN0000005648,CUST001043,2025-08-14 07:31:33,IMPS,162446.7,Food,Web_Desktop,International,287.13,0
