incident_id,timestamp,cpu_utilization,memory_usage,db_connection_pool_usage,network_throughput_mbps,application_error_rate,neft_success_rate,imps_success_rate,rtgs_success_rate,avg_transaction_processing_time_ms,incident_type,severity,is_critical
INC000026,2025-10-21 01:00:00,41.0,33.91,37.5,179.58,1,97.64,99.84,99.88,109.36,Normal,Low,0
INC000027,2025-10-21 02:00:00,39.74,34.85,38.91,193.96,6,99.37,99.0,99.13,100.0,Normal,Low,0
INC000028,2025-10-21 03:00:00,42.09,34.39,38.67,169.5,4,96.89,98.81,99.98,125.25,Normal,Low,0
INC000029,2025-10-21 04:00:00,41.1,34.4,41.79,255.15,2,97.29,98.15,99.46,123.72,Normal,Low,0
INC000030,2025-10-21 05:00:00,39.92,38.32,25.58,244.72,2,97.2,98.12,99.37,118.46,Normal,Low,0
INC000031,2025-10-21 06:00:00,36.72,32.21,23.41,157.25,2,97.66,98.62,99.79,100.0,Normal,Low,0
INC000032,2025-10-21 07:00:00,39.72,36.43,36.58,155.96,4,99.66,98.65,99.76,100.0,Normal,Low,0
INC000033,2025-10-21 08:00:00,94.17966972618748,87.51384240517906,90.62370330564757,216.58,12,87.11236154280799,99.69,99.77,100.0,Resource_Exhaustion,Critical,1
INC000034,2025-10-21 09:00:00,66.47,64.12,56.8,314.03,2,97.41,98.98,99.09,383.02,Normal,Low,0
INC000035,2025-10-21 10:00:00,67.07,61.2,47.6,389.11,6,97.55,99.28,99.87,377.16,Normal,Low,0
INC000036,2025-10-21 11:00:00,70.87,60.76,57.65,317.66,3,98.43,99.26,99.09,407.33,Normal,Low,0
INC000037,2025-10-21 12:00:00,69.23,59.52,63.13,297.56,3,98.43,99.07,99.16,381.82,Normal,Low,0
INC000038,2025-10-21 13:00:00,69.88,59.43,54.0,325.63,1,99.32,98.34,99.09,386.85,Normal,Low,0
INC000039,2025-10-21 14:00:00,69.02,62.38,46.71,401.12,2,98.8,98.57,99.99,408.22,Normal,Low,0
INC000040,2025-10-21 15:00:00,67.98,61.38,56.15,301.99,5,96.2,98.2,99.32,379.93,Normal,Low,0
INC000041,2025-10-21 16:00:00,74.5,62.68,62.83,326.77,1,97.37,98.79,99.37,441.43,Normal,Low,0
INC000042,2025-10-21 17:00:00,68.45,59.3,58.27,347.4,2,99.21,99.44,99.58,389.6,Normal,Low,0
INC000043,2025-10-21 18:00:00,40.39,37.59,28.96,226.84,4,99.62,99.81,99.99,105.89,Normal,Low,0
INC000044,2025-10-21 19:00:00,92.65329859178613,87.0922463786487,88.35650683838514,162.04,19,86.58302576375493,99.57,99.96,100.0,Resource_Exhaustion,Critical,1
INC000045,2025-10-21 20:00:00,35.31,34.53,30.38,208.9,2,99.38,99.27,99.92,100.0,Normal,Low,0
INC000046,2025-10-21 21:00:00,43.86,35.14,26.27,228.23,1,97.19,98.26,99.92,126.75,Normal,Low,0
INC000047,2025-10-21 22:00:00,44.35,39.8,36.85,239.66,3,96.55,99.09,99.68,126.83,Normal,Low,0
INC000048,2025-10-21 23:00:00,43.73,33.0,23.96,189.73,1,98.27,98.61,99.89,138.58,Normal,Low,0
INC000049,2025-10-22 00:00:00,93.65797322156428,81.96809705020212,87.37063104273773,200.6,19,87.97061911409065,99.6,99.07,112.7,Resource_Exhaustion,Critical,1
INC000050,2025-10-22 01:00:00,91.42087680847162,82.31444951722156,93.74924815502094,188.69,15,86.13575902388732,99.22,99.69,103.27,Resource_Exhaustion,Critical,1
INC000051,2025-10-22 02:00:00,87.60510093374322,81.57136895649332,86.42389916144654,226.16,12,85.12052575181858,98.26,99.18,100.0,Resource_Exhaustion,Critical,1
INC000052,2025-10-22 03:00:00,41.75,37.24,24.27,212.41,2,96.11,98.22,99.0,110.56,Normal,Low,0
INC000053,2025-10-22 04:00:00,34.95,37.5,26.85,179.56,1,97.74,98.86,99.41,100.0,Normal,Low,0
INC000054,2025-10-22 05:00:00,40.08,34.73,34.94,180.71,1,96.23,98.61,99.74,100.0,Normal,Low,0
INC000055,2025-10-22 06:00:00,85.4130317539071,88.8618016364683,92.39718324766821,228.36,14,88.4491346348917,99.24,99.19,100.0,Resource_Exhaustion,Critical,1
INC000056,2025-10-22 07:00:00,41.99,38.25,30.06,192.31,2,98.92,99.28,99.42,112.05,Normal,Low,0
INC000057,2025-10-22 08:00:00,36.44,36.01,28.29,178.11,1,99.82,98.77,99.05,100.0,Normal,Low,0
INC000058,2025-10-22 09:00:00,65.65,63.3,52.02,358.38,3,96.27,99.44,99.35,375.99,Normal,Low,0
INC000059,2025-10-22 10:00:00,65.05,63.82,59.52,331.12,1,97.66,99.72,99.66,334.66,Normal,Low,0
INC000060,2025-10-22 11:00:00,89.51342871112894,81.41357538747889,87.91223523019457,328.34,15,88.10927496867482,99.31,99.29,413.17,Resource_Exhaustion,Critical,1
INC000061,2025-10-22 12:00:00,73.78,63.58,47.62,383.07,1,99.3,99.48,99.62,453.71,Normal,Low,0
INC000062,2025-10-22 13:00:00,65.56,65.52,60.71,360.49,1,96.58,99.07,99.82,336.34,Normal,Low,0
INC000063,2025-10-22 14:00:00,69.77,64.56,50.27,301.92,3,97.69,99.03,99.88,396.79,Normal,Low,0
INC000064,2025-10-22 15:00:00,64.71,59.51,55.8,342.94,3,98.65,99.83,99.35,339.63,Normal,Low,0
INC000065,2025-10-22 16:00:00,73.56,59.36,54.54,315.39,0,98.61,99.97,99.75,425.74,Normal,Low,0
INC000066,2025-10-22 17:00:00,67.74,63.81,57.06,387.91,3,97.53,99.4,99.48,374.21,Normal,Low,0
INC000067,2025-10-22 18:00:00,36.79,39.22,33.18,209.92,3,99.13,98.87,99.87,100.0,Normal,Low,0
INC000068,2025-10-22 19:00:00,34.93,36.62,27.15,204.7,3,96.33,99.33,99.19,100.0,Normal,Low,0
INC000069,2025-10-22 20:00:00,42.76,35.21,24.67,210.39,5,98.29,99.32,99.17,108.43,Normal,Low,0
INC000070,2025-10-22 21:00:00,37.4,38.33,34.16,174.4,6,96.13,99.5,99.97,100.0,Normal,Low,0
INC000071,2025-10-22 22:00:00,42.82,36.27,39.44,177.92,1,98.09,99.48,99.88,126.77,Normal,Low,0
INC000072,2025-10-22 23:00:00,42.73,38.28,34.09,221.01,4,99.49,99.24,99.74,107.8,Normal,Low,0
INC000073,2025-10-23 00:00:00,38.83,34.69,37.47,161.58,2,99.93,99.98,99.78,101.9,Normal,Low,0
INC000074,2025-10-23 01:00:00,37.62,34.85,38.48,188.19,2,99.76,99.61,99.25,100.0,Normal,Low,0
INC000075,2025-10-23 02:00:00,38.38,37.09,37.17,231.64,1,96.87,99.2,99.04,100.0,Normal,Low,0
INC000076,2025-10-23 03:00:00,42.61,35.09,27.53,220.53,5,98.66,99.91,99.02,143.34,Normal,Low,0
INC000077,2025-10-23 04:00:00,38.29,38.85,34.45,206.79,2,98.17,98.16,99.93,100.0,Normal,Low,0
INC000078,2025-10-23 05:00:00,38.51,37.42,34.17,161.3,3,99.77,98.27,99.74,100.0,Normal,Low,0
INC000079,2025-10-23 06:00:00,88.48363148516326,89.01119589144979,92.0985623452059,249.26,16,85.55020597642967,98.91,99.77,166.64,Resource_Exhaustion,Critical,1
INC000080,2025-10-23 07:00:00,42.87,38.4,38.35,184.08,3,98.29,99.39,99.43,139.97,Normal,Low,0
INC000081,2025-10-23 08:00:00,41.34,33.6,36.98,189.91,0,97.55,98.2,99.89,111.7,Normal,Low,0
INC000082,2025-10-23 09:00:00,67.65,66.26,66.58,403.9,0,99.68,99.14,99.73,393.74,Normal,Low,0
INC000083,2025-10-23 10:00:00,67.44,62.44,46.79,386.27,2,97.3,98.57,99.45,373.72,Normal,Low,0
INC000084,2025-10-23 11:00:00,86.6413845402222,89.03454195987187,92.09024794648018,316.86,15,89.75720421379451,98.33,99.65,381.06,Resource_Exhaustion,Critical,1
INC000085,2025-10-23 12:00:00,88.69177899719125,80.8417232233725,85.48758273229154,376.37,11,85.1468659072764,98.25,99.85,379.14,Resource_Exhaustion,Critical,1
INC000086,2025-10-23 13:00:00,67.51,60.87,59.03,325.65,1,99.67,98.68,99.45,364.46,Normal,Low,0
INC000087,2025-10-23 14:00:00,85.7440602678282,84.1103365916783,89.0693720480237,346.92,11,89.65037558953735,99.01,99.05,360.52,Resource_Exhaustion,Critical,1
INC000088,2025-10-23 15:00:00,87.87029442328837,86.94890601635491,86.05870595550327,327.65,19,85.11179525699151,98.37,99.55,379.2,Resource_Exhaustion,Critical,1
INC000089,2025-10-23 16:00:00,72.12,60.01,65.3,325.53,1,98.41,98.04,99.09,405.19,Normal,Low,0
INC000090,2025-10-23 17:00:00,76.38,61.43,60.52,400.1,1,97.45,98.15,99.56,469.65,Resource_Warning,Medium,0
INC000091,2025-10-23 18:00:00,42.3,34.74,33.56,234.69,2,97.74,99.13,99.9,122.56,Normal,Low,0
INC000092,2025-10-23 19:00:00,38.0,35.97,35.06,229.87,1,96.65,99.27,99.77,100.0,Normal,Low,0
INC000093,2025-10-23 20:00:00,41.06,36.1,28.05,168.21,2,99.81,98.93,99.71,122.7,Normal,Low,0
INC000094,2025-10-23 21:00:00,35.46,33.08,38.04,184.85,5,99.98,98.01,99.01,100.0,Normal,Low,0
INC000095,2025-10-23 22:00:00,35.98,36.99,39.18,200.37,1,99.36,99.43,99.61,100.0,Normal,Low,0
INC000096,2025-10-23 23:00:00,39.56,34.42,34.39,211.0,1,97.75,98.9,99.13,100.0,Normal,Low,0
INC000097,2025-10-24 00:00:00,37.03,38.94,42.82,199.99,1,97.39,98.26,99.23,100.0,Normal,Low,0
INC000098,2025-10-24 01:00:00,39.69,37.28,38.05,247.63,2,98.47,99.37,99.09,100.0,Normal,Low,0
INC000099,2025-10-24 02:00:00,44.01,35.67,26.68,182.36,5,96.63,99.93,99.19,138.69,Normal,Low,0
INC000100,2025-10-24 03:00:00,90.95511747708585,85.86125121889279,92.48303852923189,225.9,10,89.28969338241697,98.65,99.87,112.96,Resource_Exhaustion,Critical,1
INC000101,2025-10-24 04:00:00,39.19,32.72,38.88,191.19,2,98.05,98.38,99.07,100.0,Normal,Low,0
INC000102,2025-10-24 05:00:00,38.12,37.71,24.52,222.18,1,99.39,98.25,99.18,100.0,Normal,Low,0
INC000103,2025-10-24 06:00:00,43.91,35.8,38.22,237.57,4,99.14,98.08,99.0,133.13,Normal,Low,0
INC000104,2025-10-24 07:00:00,34.94,36.11,32.71,155.04,0,97.0,99.67,99.06,100.0,Normal,Low,0
INC000105,2025-10-24 08:00:00,41.19,36.78,27.54,186.68,1,99.98,98.38,99.81,108.68,Normal,Low,0
INC000106,2025-10-24 09:00:00,73.69,61.15,61.51,387.28,5,97.67,99.2,99.15,455.58,Normal,Low,0
INC000107,2025-10-24 10:00:00,69.43,63.99,51.34,339.67,0,97.09,98.03,99.42,395.1,Normal,Low,0
INC000108,2025-10-24 11:00:00,73.41,65.67,51.41,385.57,3,98.16,98.77,99.89,437.4,Normal,Low,0
INC000109,2025-10-24 12:00:00,71.12,61.1,49.53,402.18,2,98.13,98.31,99.81,397.97,Normal,Low,0
INC000110,2025-10-24 13:00:00,89.7373081041105,83.61966167465334,93.05626794843843,383.72,15,85.65839710898769,99.02,99.7,436.52,Resource_Exhaustion,Critical,1
INC000111,2025-10-24 14:00:00,72.97,64.55,53.21,331.51,3,98.69,99.57,99.9,428.0,Normal,Low,0
INC000112,2025-10-24 15:00:00,72.45,65.41,51.93,386.49,2,96.82,99.09,99.89,413.89,Normal,Low,0
INC000113,2025-10-24 16:00:00,71.41,60.67,53.43,313.14,2,96.81,98.95,99.17,429.41,Normal,Low,0
INC000114,2025-10-24 17:00:00,70.2,65.77,53.71,395.81,1,96.5,98.85,99.41,408.0,Normal,Low,0
INC000115,2025-10-24 18:00:00,34.18,32.69,21.36,220.18,3,96.15,98.85,99.26,100.0,Normal,Low,0
INC000116,2025-10-24 19:00:00,37.63,33.52,26.9,225.86,2,96.58,98.43,99.19,100.0,Normal,Low,0
INC000117,2025-10-24 20:00:00,91.60793861580464,89.90949809900269,86.7084274121924,178.95,10,88.5542511621695,99.48,99.07,100.0,Resource_Exhaustion,Critical,1
INC000118,2025-10-24 21:00:00,37.4,37.21,24.27,200.75,4,98.53,99.81,99.58,100.0,Normal,Low,0
INC000119,2025-10-24 22:00:00,39.28,33.45,24.63,209.89,1,97.77,99.52,99.07,109.48,Normal,Low,0
INC000120,2025-10-24 23:00:00,41.81,35.05,39.22,156.57,1,97.35,98.82,99.56,112.31,Normal,Low,0
INC000121,2025-10-25 00:00:00,87.69418831198116,88.98079439187752,88.84913269023467,240.06,14,88.83949893497415,98.89,99.84,100.0,Resource_Exhaustion,Critical,1
INC000122,2025-10-25 01:00:00,45.65,36.97,42.34,170.42,2,96.7,98.76,99.93,143.79,Normal,Low,0
INC000123,2025-10-25 02:00:00,42.96,33.82,41.6,209.92,3,99.01,98.99,99.53,148.93,Normal,Low,0
INC000124,2025-10-25 03:00:00,42.45,37.16,29.9,216.34,2,97.6,99.62,99.51,137.07,Normal,Low,0
INC000125,2025-10-25 04:00:00,94.81171592998463,87.77958910361265,85.94585871772759,247.56,15,86.48782027279012,99.96,99.58,101.59,Resource_Exhaustion,Critical,1
INC000126,2025-10-25 05:00:00,37.39,36.5,34.25,238.33,2,96.96,99.78,99.48,100.0,Normal,Low,0
INC000127,2025-10-25 06:00:00,41.66,34.69,30.07,221.5,2,97.15,98.9,99.03,113.89,Normal,Low,0
INC000128,2025-10-25 07:00:00,36.66,36.83,30.38,157.73,1,96.09,99.23,99.99,100.0,Normal,Low,0
INC000129,2025-10-25 08:00:00,34.03,37.04,38.02,203.61,4,99.26,99.6,99.92,100.0,Normal,Low,0
INC000130,2025-10-25 09:00:00,53.14,43.33,35.88,214.77,1,99.77,99.79,99.8,246.46,Normal,Low,0
INC000131,2025-10-25 10:00:00,44.41,41.28,40.28,262.82,1,98.11,99.79,99.13,156.02,Normal,Low,0
INC000132,2025-10-25 11:00:00,48.35,47.03,32.22,230.01,5,97.2,98.17,99.38,194.45,Normal,Low,0
INC000133,2025-10-25 12:00:00,47.03,46.1,37.58,192.73,4,96.81,98.24,99.8,170.88,Normal,Low,0
INC000134,2025-10-25 13:00:00,87.66148182412108,88.49817688139613,93.13899283226289,269.83,12,89.50499197929335,99.04,99.03,187.87,Resource_Exhaustion,Critical,1
INC000135,2025-10-25 14:00:00,47.0,46.39,35.17,211.55,5,97.26,99.73,99.26,166.5,Normal,Low,0
INC000136,2025-10-25 15:00:00,89.5601440548129,84.79505100693902,93.51720535542042,296.73,18,87.9963502968514,99.49,99.83,238.35,Resource_Exhaustion,Critical,1
INC000137,2025-10-25 16:00:00,51.38,42.24,48.13,238.04,1,99.97,99.52,99.46,228.46,Normal,Low,0
INC000138,2025-10-25 17:00:00,94.22068708165668,88.6547611998371,85.52613020755996,232.81,14,87.42756013531637,99.43,99.91,153.53,Resource_Exhaustion,Critical,1
INC000139,2025-10-25 18:00:00,40.7,37.62,36.14,186.73,3,96.38,98.21,99.54,100.0,Normal,Low,0
INC000140,2025-10-25 19:00:00,44.33,35.97,36.61,188.68,2,99.1,98.7,99.21,133.45,Normal,Low,0
INC000141,2025-10-25 20:00:00,41.08,35.41,29.57,173.43,1,98.75,99.79,99.65,124.49,Normal,Low,0
INC000142,2025-10-25 21:00:00,36.81,39.67,40.64,203.09,2,97.91,98.16,99.08,100.0,Normal,Low,0
INC000143,2025-10-25 22:00:00,37.97,34.05,23.7,185.56,2,97.8,99.53,99.35,100.0,Normal,Low,0
INC000144,2025-10-25 23:00:00,42.41,33.24,32.76,179.05,1,99.38,98.56,99.29,121.34,Normal,Low,0
INC000145,2025-10-26 00:00:00,44.22,36.41,27.45,170.74,2,96.28,99.08,99.26,159.89,Normal,Low,0
INC000146,2025-10-26 01:00:00,39.02,32.99,31.42,227.51,2,97.44,99.71,99.39,100.0,Normal,Low,0
INC000147,2025-10-26 02:00:00,36.53,35.46,40.66,202.04,0,99.65,98.22,99.46,100.0,Normal,Low,0
INC000148,2025-10-26 03:00:00,46.17,36.67,38.19,247.31,0,98.23,98.24,99.79,156.56,Normal,Low,0
INC000149,2025-10-26 04:00:00,35.76,37.15,27.71,200.51,0,96.1,98.7,99.67,100.0,Normal,Low,0
INC000150,2025-10-26 05:00:00,45.05,33.35,36.46,169.08,1,99.48,98.23,99.31,160.8,Normal,Low,0
INC000151,2025-10-26 06:00:00,40.93,35.69,22.38,200.33,1,96.84,98.35,99.01,100.0,Normal,Low,0
INC000152,2025-10-26 07:00:00,44.23,33.44,31.25,224.45,2,99.95,99.29,99.29,125.15,Normal,Low,0
INC000153,2025-10-26 08:00:00,36.4,37.33,31.44,223.41,3,98.71,99.94,99.88,100.0,Normal,Low,0
INC000154,2025-10-26 09:00:00,87.9510088284757,82.18457169915558,88.48895322472144,277.15,19,85.81687232554141,98.83,99.46,204.37,Resource_Exhaustion,Critical,1
INC000155,2025-10-26 10:00:00,54.97,49.18,32.64,232.78,1,98.07,99.36,99.77,263.18,Normal,Low,0
INC000156,2025-10-26 11:00:00,94.47485732830793,82.81877561837359,93.75277031602938,256.01,16,85.40829645738583,98.38,99.75,174.57,Resource_Exhaustion,Critical,1
INC000157,2025-10-26 12:00:00,54.56,44.36,48.02,262.69,1,98.53,99.36,99.55,263.48,Normal,Low,0
INC000158,2025-10-26 13:00:00,50.83,43.04,33.55,194.75,4,98.61,99.18,99.69,225.22,Normal,Low,0
INC000159,2025-10-26 14:00:00,46.34,43.91,39.97,210.29,1,99.52,99.87,99.74,148.92,Normal,Low,0
INC000160,2025-10-26 15:00:00,52.48,43.56,38.78,282.07,2,98.57,98.38,99.61,224.07,Normal,Low,0
INC000161,2025-10-26 16:00:00,46.56,47.93,40.47,223.98,1,96.74,99.51,99.91,162.83,Normal,Low,0
INC000162,2025-10-26 17:00:00,50.9,44.17,31.71,212.4,1,96.07,98.91,100.0,227.98,Normal,Low,0
INC000163,2025-10-26 18:00:00,38.09,38.98,37.04,186.62,1,98.86,98.99,99.82,100.0,Normal,Low,0
INC000164,2025-10-26 19:00:00,41.24,35.47,40.53,229.86,1,99.64,99.95,99.07,125.89,Normal,Low,0
INC000165,2025-10-26 20:00:00,87.4598055686395,81.25019514461513,92.51645786702697,189.15,15,88.38471822016567,99.59,99.92,100.0,Resource_Exhaustion,Critical,1
INC000166,2025-10-26 21:00:00,35.24,36.5,24.54,210.54,2,99.94,99.11,99.97,100.0,Normal,Low,0
INC000167,2025-10-26 22:00:00,86.13260868985193,84.42882832550139,85.19194532987798,208.92,12,88.30030995505611,99.02,99.65,121.15,Resource_Exhaustion,Critical,1
INC000168,2025-10-26 23:00:00,34.15,35.48,22.11,158.4,2,98.92,98.44,99.88,100.0,Normal,Low,0
