application_id,customer_id,application_date,loan_type,loan_amount,loan_term_months,employment_type,existing_loans,debt_to_income_ratio,credit_inquiries_6m,payment_history_months,approval_status,is_default
APP000018,CUST000018,2024-12-02,Credit_Card,259211.68,0,Salaried,4,0.328,1,58,Approved,0.0
APP000019,CUST000019,2025-01-10,Home_Loan,8567830.24,180,Business_Owner,1,0.718,0,2,Approved,0.0
APP000020,CUST000020,2023-12-26,Personal_Loan,147421.52,48,Salaried,3,0.748,5,29,Approved,1.0
APP000021,CUST000021,2025-06-27,Personal_Loan,138105.84,36,Salaried,2,0.115,1,29,Approved,0.0
APP000022,CUST000022,2025-04-16,Credit_Card,65726.99,0,Salaried,3,0.296,3,55,Approved,1.0
APP000023,CUST000023,2024-05-01,Personal_Loan,353367.37,24,Salaried,3,0.174,3,1,Approved,0.0
APP000024,CUST000024,2025-05-14,Personal_Loan,394530.45,36,Salaried,3,0.432,1,0,Rejected,
APP000025,CUST000025,2024-11-24,Auto_Loan,365941.36,36,Salaried,2,0.729,3,0,Approved,0.0
APP000026,CUST000026,2024-10-25,Home_Loan,3188297.53,120,Self_Employed,2,0.684,1,27,Approved,0.0
APP000027,CUST000027,2025-03-17,Business_Loan,2961724.32,24,Salaried,3,0.401,1,11,Rejected,
APP000028,CUST000028,2025-10-26,Auto_Loan,720901.57,48,Business_Owner,1,0.319,3,4,Approved,0.0
APP000029,CUST000029,2025-06-06,Personal_Loan,953460.05,36,Salaried,3,0.186,2,11,Approved,0.0
APP000030,CUST000030,2024-01-06,Credit_Card,140438.17,0,Salaried,3,0.383,0,9,Rejected,
APP000031,CUST000031,2025-05-12,Auto_Loan,1234336.9,36,Salaried,0,0.607,2,0,Rejected,
APP000032,CUST000032,2025-03-06,Personal_Loan,528436.23,36,Salaried,2,0.73,1,14,Approved,0.0
APP000033,CUST000033,2024-02-26,Credit_Card,423318.49,0,Salaried,2,0.46,2,2,Approved,0.0
APP000034,CUST000034,2024-03-27,Auto_Loan,1292970.96,48,Salaried,0,0.364,3,1,Rejected,
APP000035,CUST000035,2024-12-29,Home_Loan,3016196.51,240,Salaried,2,0.244,0,11,Approved,0.0
APP000036,CUST000036,2025-07-11,Business_Loan,127365.0,24,Self_Employed,2,0.778,1,40,Approved,0.0
APP000037,CUST000037,2025-07-29,Auto_Loan,549366.71,60,Self_Employed,4,0.101,4,11,Approved,0.0
APP000038,CUST000038,2025-03-15,Auto_Loan,640581.47,48,Salaried,4,0.603,0,9,Rejected,
APP000039,CUST000039,2025-05-05,Personal_Loan,141788.54,48,Self_Employed,3,0.683,3,23,Approved,0.0
APP000040,CUST000040,2025-06-30,Auto_Loan,1237699.88,36,Salaried,1,0.761,1,15,Approved,0.0
APP000041,CUST000041,2025-08-14,Auto_Loan,1578490.43,36,Salaried,2,0.156,0,1,Rejected,
APP000042,CUST000042,2024-01-11,Home_Loan,1934020.68,300,Salaried,2,0.184,2,43,Rejected,
APP000043,CUST000043,2025-02-05,Personal_Loan,544381.91,24,Self_Employed,2,0.404,2,12,Approved,0.0
APP000044,CUST000044,2025-05-20,Home_Loan,3050099.92,300,Salaried,0,0.218,0,31,Rejected,
APP000045,CUST000045,2024-05-30,Personal_Loan,321833.24,24,Salaried,4,0.374,1,14,Approved,0.0
APP000046,CUST000046,2025-06-13,Personal_Loan,814740.34,48,Self_Employed,2,0.457,2,23,Approved,0.0
APP000047,CUST000047,2024-11-07,Credit_Card,312548.0,0,Retired,3,0.163,2,13,Approved,0.0
APP000048,CUST000048,2024-12-23,Auto_Loan,1452411.16,36,Salaried,1,0.448,1,51,Approved,0.0
APP000049,CUST000049,2024-02-27,Personal_Loan,966770.0,48,Salaried,0,0.263,2,3,Approved,0.0
APP000050,CUST000050,2024-07-07,Business_Loan,2727762.67,48,Student,2,0.659,2,34,Approved,0.0
APP000051,CUST000051,2025-02-11,Auto_Loan,991070.49,48,Self_Employed,4,0.41,2,4,Approved,1.0
APP000052,CUST000052,2023-12-02,Home_Loan,4195872.89,180,Business_Owner,0,0.196,2,3,Approved,0.0
APP000053,CUST000053,2024-12-14,Personal_Loan,662733.99,48,Salaried,1,0.302,2,12,Approved,0.0
APP000054,CUST000054,2024-09-02,Auto_Loan,1653433.84,36,Self_Employed,3,0.623,3,6,Rejected,
APP000055,CUST000055,2024-08-20,Business_Loan,2462193.42,12,Salaried,0,0.746,3,10,Rejected,
APP000056,CUST000056,2025-05-04,Auto_Loan,1356584.17,48,Self_Employed,1,0.559,3,19,Rejected,
APP000057,CUST000057,2024-02-19,Home_Loan,6022190.17,240,Salaried,2,0.272,0,22,Approved,0.0
APP000058,CUST000058,2023-12-06,Credit_Card,65638.52,0,Salaried,4,0.183,2,6,Approved,0.0
APP000059,CUST000059,2023-12-10,Business_Loan,3938716.42,36,Student,0,0.49,4,3,Rejected,
APP000060,CUST000060,2025-02-09,Home_Loan,8244897.37,120,Salaried,1,0.1,2,12,Rejected,
APP000061,CUST000061,2025-04-08,Home_Loan,9641119.04,240,Business_Owner,2,0.179,3,32,Approved,0.0
APP000062,CUST000062,2024-10-05,Credit_Card,287563.38,0,Business_Owner,3,0.326,1,16,Approved,0.0
APP000063,CUST000063,2024-06-05,Personal_Loan,401842.22,24,Retired,1,0.661,2,7,Rejected,
APP000064,CUST000064,2024-03-12,Credit_Card,250567.34,0,Business_Owner,4,0.655,0,89,Approved,0.0
APP000065,CUST000065,2024-11-14,Credit_Card,198471.37,0,Salaried,1,0.493,1,25,Approved,0.0
APP000066,CUST000066,2024-06-28,Auto_Loan,1297343.68,36,Salaried,0,0.154,1,69,Approved,1.0
APP000067,CUST000067,2024-03-14,Personal_Loan,130308.77,12,Salaried,0,0.526,1,3,Rejected,
APP000068,CUST000068,2025-03-18,Personal_Loan,748961.01,24,Salaried,0,0.211,2,0,Rejected,
APP000069,CUST000069,2025-01-30,Home_Loan,6336334.82,180,Salaried,4,0.278,1,12,Approved,0.0
APP000070,CUST000070,2025-07-01,Home_Loan,1372343.26,240,Self_Employed,3,0.317,3,4,Approved,0.0
APP000071,CUST000071,2025-03-07,Credit_Card,259124.32,0,Business_Owner,1,0.573,2,15,Approved,1.0
APP000072,CUST000072,2025-08-15,Personal_Loan,76493.98,12,Salaried,2,0.667,2,5,Rejected,
APP000073,CUST000073,2025-03-25,Credit_Card,471908.27,0,Salaried,0,0.359,1,11,Approved,0.0
APP000074,CUST000074,2024-12-01,Personal_Loan,570674.42,60,Salaried,2,0.677,3,38,Rejected,
APP000075,CUST000075,2025-09-24,Home_Loan,6442792.21,120,Retired,0,0.18,4,20,Approved,1.0
APP000076,CUST000076,2024-03-16,Personal_Loan,941823.0,24,Business_Owner,2,0.751,1,16,Approved,1.0
APP000077,CUST000077,2023-12-14,Home_Loan,8302923.7,300,Salaried,0,0.347,2,2,Approved,0.0
APP000078,CUST000078,2025-10-30,Business_Loan,3552681.12,48,Self_Employed,2,0.491,5,13,Approved,0.0
APP000079,CUST000079,2024-11-06,Personal_Loan,437843.95,12,Salaried,3,0.52,0,8,Rejected,
APP000080,CUST000080,2025-05-06,Home_Loan,1531498.78,180,Business_Owner,3,0.793,0,2,Rejected,
APP000081,CUST000081,2025-02-01,Home_Loan,1054782.6,120,Salaried,1,0.288,1,25,Rejected,
APP000082,CUST000082,2025-06-09,Credit_Card,177113.7,0,Self_Employed,4,0.45,2,15,Approved,0.0
APP000083,CUST000083,2025-10-21,Personal_Loan,144993.55,60,Salaried,3,0.121,2,6,Approved,0.0
APP000084,CUST000084,2025-04-12,Auto_Loan,1241337.06,48,Self_Employed,3,0.357,5,14,Rejected,
APP000085,CUST000085,2025-04-05,Personal_Loan,51731.63,60,Salaried,3,0.179,3,23,Approved,0.0
APP000086,CUST000086,2025-09-21,Credit_Card,221665.71,0,Student,2,0.484,3,0,Approved,0.0
APP000087,CUST000087,2025-04-23,Personal_Loan,922811.76,60,Salaried,2,0.118,1,7,Approved,0.0
APP000088,CUST000088,2025-03-16,Auto_Loan,1468723.06,84,Student,3,0.248,1,28,Approved,0.0
APP000089,CUST000089,2023-11-05,Auto_Loan,944970.26,48,Salaried,3,0.385,2,1,Rejected,
APP000090,CUST000090,2025-09-23,Personal_Loan,795560.46,36,Salaried,3,0.655,3,10,Rejected,
APP000091,CUST000091,2025-03-10,Business_Loan,3656414.0,48,Self_Employed,4,0.715,0,3,Approved,1.0
APP000092,CUST000092,2025-01-26,Business_Loan,326424.31,48,Salaried,3,0.742,0,2,Approved,0.0
APP000093,CUST000093,2023-11-22,Home_Loan,1950518.37,300,Salaried,3,0.134,1,1,Approved,0.0
APP000094,CUST000094,2024-07-11,Personal_Loan,431485.89,60,Salaried,4,0.733,1,48,Rejected,
APP000095,CUST000095,2024-06-28,Personal_Loan,525039.76,12,Salaried,2,0.721,2,0,Approved,0.0
APP000096,CUST000096,2025-06-02,Home_Loan,2939435.24,120,Salaried,0,0.382,0,11,Approved,0.0
APP000097,CUST000097,2025-07-21,Business_Loan,2582405.64,24,Salaried,0,0.606,4,0,Approved,0.0
APP000098,CUST000098,2025-03-13,Credit_Card,455554.78,0,Self_Employed,1,0.482,0,36,Approved,0.0
APP000099,CUST000099,2024-06-15,Credit_Card,463874.22,0,Self_Employed,3,0.31,3,0,Approved,0.0
APP000100,CUST000100,2024-10-15,Auto_Loan,1651643.84,84,Salaried,0,0.412,3,5,Approved,0.0
APP000101,CUST000101,2024-09-26,Personal_Loan,512028.27,36,Salaried,2,0.338,2,3,Approved,0.0
APP000102,CUST000102,2024-01-13,Credit_Card,114490.38,0,Self_Employed,2,0.503,3,13,Approved,1.0
APP000103,CUST000103,2024-04-18,Auto_Loan,773481.45,60,Salaried,0,0.201,2,3,Approved,0.0
APP000104,CUST000104,2024-09-21,Home_Loan,7811104.29,120,Salaried,4,0.532,0,6,Rejected,
APP000105,CUST000105,2024-06-17,Auto_Loan,1771391.38,36,Retired,1,0.525,4,4,Approved,0.0
APP000106,CUST000106,2025-10-08,Business_Loan,1919003.02,36,Business_Owner,4,0.6,2,111,Approved,0.0
APP000107,CUST000107,2025-05-03,Personal_Loan,816959.48,12,Salaried,3,0.653,2,7,Rejected,
APP000108,CUST000108,2024-10-29,Personal_Loan,769698.93,60,Salaried,1,0.26,0,0,Rejected,
APP000109,CUST000109,2024-01-04,Personal_Loan,114638.06,60,Salaried,2,0.116,2,0,Approved,0.0
APP000110,CUST000110,2024-08-23,Auto_Loan,1562589.54,60,Business_Owner,1,0.271,2,35,Approved,0.0
APP000111,CUST000111,2024-05-19,Credit_Card,214364.16,0,Salaried,0,0.709,5,4,Rejected,
APP000112,CUST000112,2025-06-05,Auto_Loan,672366.86,48,Salaried,3,0.599,0,6,Approved,0.0
APP000113,CUST000113,2024-02-10,Home_Loan,2682749.25,120,Salaried,2,0.115,2,38,Rejected,
APP000114,CUST000114,2025-05-08,Home_Loan,8512871.79,180,Salaried,3,0.308,0,5,Approved,0.0
APP000115,CUST000115,2023-11-21,Home_Loan,2843938.85,120,Business_Owner,4,0.271,2,52,Approved,0.0
APP000116,CUST000116,2024-11-15,Personal_Loan,743035.1,48,Salaried,1,0.127,1,39,Approved,0.0
APP000117,CUST000117,2025-05-26,Personal_Loan,189882.29,12,Salaried,3,0.483,1,15,Approved,0.0
APP000118,CUST000118,2025-04-11,Personal_Loan,360837.89,60,Salaried,0,0.514,0,10,Rejected,
APP000119,CUST000119,2024-02-15,Personal_Loan,903235.27,24,Business_Owner,2,0.623,4,0,Rejected,
APP000120,CUST000120,2024-04-30,Auto_Loan,444870.85,36,Self_Employed,1,0.576,4,3,Approved,0.0
APP000121,CUST000121,2025-10-26,Home_Loan,5058235.24,120,Salaried,4,0.71,0,24,Approved,1.0
APP000122,CUST000122,2024-08-10,Home_Loan,8006843.17,240,Self_Employed,2,0.739,1,6,Approved,0.0
APP000123,CUST000123,2025-05-19,Home_Loan,2234445.72,240,Salaried,2,0.228,0,26,Approved,0.0
APP000124,CUST000124,2024-10-04,Business_Loan,107667.31,24,Salaried,0,0.121,2,10,Approved,0.0
APP000125,CUST000125,2025-04-08,Home_Loan,9447878.52,240,Self_Employed,3,0.249,1,33,Approved,1.0
APP000126,CUST000126,2025-04-27,Auto_Loan,1142452.72,48,Business_Owner,4,0.79,1,1,Approved,1.0
APP000127,CUST000127,2024-11-12,Credit_Card,357539.29,0,Self_Employed,0,0.662,1,2,Approved,1.0
APP000128,CUST000128,2025-09-14,Auto_Loan,528373.48,36,Business_Owner,4,0.58,2,0,Approved,0.0
APP000129,CUST000129,2024-12-15,Credit_Card,124927.33,0,Self_Employed,3,0.347,1,56,Approved,0.0
APP000130,CUST000130,2025-09-12,Personal_Loan,808170.35,36,Business_Owner,2,0.262,4,5,Approved,0.0
APP000131,CUST000131,2024-05-24,Home_Loan,4047467.86,120,Salaried,0,0.727,1,4,Approved,0.0
APP000132,CUST000132,2024-08-07,Personal_Loan,401668.42,24,Self_Employed,0,0.461,4,0,Approved,0.0
APP000133,CUST000133,2025-09-08,Personal_Loan,841221.45,48,Salaried,2,0.185,3,11,Approved,1.0
APP000134,CUST000134,2025-08-05,Credit_Card,99785.7,0,Business_Owner,4,0.108,3,2,Approved,0.0
APP000135,CUST000135,2024-10-30,Auto_Loan,1404828.88,60,Business_Owner,3,0.74,2,102,Approved,0.0
APP000136,CUST000136,2024-10-06,Home_Loan,7836781.78,180,Salaried,4,0.322,1,2,Rejected,
APP000137,CUST000137,2025-05-23,Personal_Loan,577128.18,48,Self_Employed,4,0.481,1,6,Approved,0.0
APP000138,CUST000138,2024-05-17,Personal_Loan,366161.7,48,Salaried,0,0.509,2,29,Approved,0.0
APP000139,CUST000139,2025-05-18,Home_Loan,7902377.74,120,Business_Owner,4,0.272,2,5,Rejected,
APP000140,CUST000140,2025-08-25,Home_Loan,6750672.16,240,Salaried,1,0.228,3,28,Approved,0.0
APP000141,CUST000141,2024-02-05,Personal_Loan,286426.11,60,Self_Employed,4,0.439,2,9,Rejected,
APP000142,CUST000142,2024-11-24,Credit_Card,444868.47,0,Salaried,4,0.371,3,75,Approved,0.0
APP000143,CUST000143,2025-04-23,Business_Loan,3250441.27,12,Self_Employed,0,0.787,3,10,Approved,0.0
APP000144,CUST000144,2024-04-30,Home_Loan,8178104.73,180,Salaried,3,0.485,3,10,Approved,0.0
APP000145,CUST000145,2024-05-27,Business_Loan,2782623.4,24,Salaried,3,0.702,1,0,Approved,0.0
APP000146,CUST000146,2025-04-06,Credit_Card,317726.55,0,Salaried,2,0.197,3,8,Approved,0.0
APP000147,CUST000147,2025-06-28,Home_Loan,6019840.16,120,Salaried,0,0.431,3,35,Approved,0.0
APP000148,CUST000148,2025-03-08,Personal_Loan,859118.98,24,Salaried,2,0.222,2,26,Approved,0.0
APP000149,CUST000149,2023-11-13,Personal_Loan,923743.4,12,Student,2,0.14,3,0,Approved,0.0
APP000150,CUST000150,2023-12-08,Personal_Loan,431780.76,12,Student,3,0.449,1,5,Approved,0.0
APP000151,CUST000151,2024-01-13,Personal_Loan,188924.16,48,Salaried,1,0.447,2,9,Approved,0.0
APP000152,CUST000152,2025-02-18,Auto_Loan,1890959.99,36,Salaried,1,0.455,1,1,Rejected,
APP000153,CUST000153,2025-05-03,Home_Loan,1257560.72,240,Salaried,2,0.748,1,14,Approved,0.0
APP000154,CUST000154,2023-11-13,Auto_Loan,1554488.79,48,Salaried,2,0.576,1,6,Approved,1.0
APP000155,CUST000155,2025-03-11,Personal_Loan,532834.27,12,Student,4,0.13,4,4,Approved,0.0
APP000156,CUST000156,2024-01-27,Credit_Card,268564.65,0,Self_Employed,2,0.587,2,17,Approved,0.0
APP000157,CUST000157,2025-04-07,Credit_Card,347637.69,0,Student,3,0.588,1,1,Approved,1.0
APP000158,CUST000158,2024-02-25,Auto_Loan,213736.3,60,Self_Employed,0,0.247,0,81,Approved,0.0
APP000159,CUST000159,2024-08-04,Auto_Loan,1502853.46,36,Salaried,0,0.167,2,2,Rejected,
APP000160,CUST000160,2025-04-03,Personal_Loan,664778.71,60,Business_Owner,1,0.35,3,68,Approved,0.0
APP000161,CUST000161,2025-06-10,Credit_Card,53040.62,0,Self_Employed,4,0.237,2,9,Rejected,
APP000162,CUST000162,2024-05-23,Home_Loan,3262271.86,300,Salaried,0,0.139,1,8,Approved,0.0
APP000163,CUST000163,2024-03-28,Business_Loan,2693583.5,60,Business_Owner,4,0.24,2,7,Rejected,
APP000164,CUST000164,2025-04-11,Credit_Card,123501.02,0,Salaried,0,0.172,2,12,Approved,0.0
APP000165,CUST000165,2025-04-21,Business_Loan,4824409.08,48,Salaried,4,0.56,2,34,Approved,0.0
APP000166,CUST000166,2024-07-22,Business_Loan,3542718.39,24,Salaried,4,0.459,3,21,Approved,0.0
APP000167,CUST000167,2025-02-02,Personal_Loan,877948.26,60,Salaried,1,0.377,2,1,Approved,0.0
APP000168,CUST000168,2025-05-23,Personal_Loan,613553.97,24,Salaried,4,0.574,2,46,Rejected,
APP000169,CUST000169,2025-06-27,Personal_Loan,821049.95,60,Salaried,2,0.104,1,12,Approved,0.0
APP000170,CUST000170,2024-05-12,Credit_Card,493385.71,0,Student,2,0.12,2,10,Rejected,
APP000171,CUST000171,2024-02-11,Auto_Loan,272617.65,36,Business_Owner,3,0.7,0,31,Rejected,
APP000172,CUST000172,2025-06-12,Personal_Loan,792789.5,60,Self_Employed,2,0.713,1,14,Rejected,
APP000173,CUST000173,2024-12-27,Auto_Loan,1294790.27,48,Salaried,0,0.343,3,0,Rejected,
APP000174,CUST000174,2025-07-14,Home_Loan,5861207.43,240,Salaried,0,0.564,3,0,Rejected,
APP000175,CUST000175,2024-03-01,Home_Loan,7828516.89,180,Self_Employed,3,0.304,1,5,Rejected,
APP000176,CUST000176,2025-05-03,Business_Loan,3813763.74,60,Salaried,3,0.551,5,32,Approved,0.0
APP000177,CUST000177,2024-12-19,Home_Loan,6411759.38,120,Retired,3,0.732,0,0,Approved,0.0
APP000178,CUST000178,2024-04-23,Personal_Loan,578309.4,12,Self_Employed,2,0.339,3,2,Approved,0.0
APP000179,CUST000179,2025-10-10,Personal_Loan,62538.26,24,Salaried,2,0.306,0,56,Approved,0.0
APP000180,CUST000180,2025-04-20,Home_Loan,5664953.41,240,Salaried,1,0.569,2,2,Rejected,
APP000181,CUST000181,2024-12-23,Auto_Loan,447596.47,36,Salaried,4,0.617,0,2,Approved,0.0
APP000182,CUST000182,2025-08-17,Auto_Loan,1482297.28,48,Salaried,4,0.629,0,51,Approved,0.0
APP000183,CUST000183,2024-02-24,Personal_Loan,738316.13,48,Salaried,4,0.361,1,3,Approved,0.0
APP000184,CUST000184,2025-08-31,Auto_Loan,253229.08,60,Salaried,1,0.687,1,3,Approved,1.0
APP000185,CUST000185,2023-11-20,Business_Loan,1552432.27,12,Self_Employed,2,0.152,3,16,Approved,0.0
APP000186,CUST000186,2024-09-15,Personal_Loan,807536.28,60,Salaried,1,0.409,1,8,Approved,0.0
APP000187,CUST000187,2023-12-12,Credit_Card,399551.58,0,Business_Owner,2,0.219,2,44,Rejected,
APP000188,CUST000188,2024-08-11,Personal_Loan,600165.09,48,Salaried,4,0.443,0,26,Approved,0.0
APP000189,CUST000189,2025-01-11,Home_Loan,4634353.12,180,Retired,2,0.588,4,17,Approved,0.0
APP000190,CUST000190,2024-05-09,Credit_Card,350063.23,0,Self_Employed,2,0.765,1,11,Approved,0.0
APP000191,CUST000191,2024-10-03,Credit_Card,69791.04,0,Salaried,3,0.166,5,57,Approved,0.0
APP000192,CUST000192,2025-05-24,Credit_Card,235987.58,0,Salaried,1,0.705,2,1,Approved,0.0
APP000193,CUST000193,2023-11-13,Personal_Loan,839506.2,36,Salaried,2,0.384,2,3,Approved,0.0
APP000194,CUST000194,2025-05-25,Business_Loan,3132251.89,60,Business_Owner,2,0.305,1,37,Approved,0.0
APP000195,CUST000195,2024-08-07,Home_Loan,8209731.3,120,Salaried,2,0.526,1,8,Rejected,
APP000196,CUST000196,2025-06-02,Auto_Loan,271216.46,48,Salaried,0,0.728,2,6,Approved,0.0
APP000197,CUST000197,2024-12-07,Credit_Card,496100.89,0,Salaried,1,0.621,2,3,Approved,0.0
APP000198,CUST000198,2024-11-24,Home_Loan,9976989.02,240,Salaried,0,0.316,1,4,Approved,0.0
APP000199,CUST000199,2024-05-26,Personal_Loan,697853.85,60,Salaried,0,0.14,2,0,Approved,0.0
APP000200,CUST000200,2025-08-17,Personal_Loan,214126.95,48,Student,0,0.666,1,25,Rejected,
APP000201,CUST000201,2025-03-17,Home_Loan,5208164.29,300,Self_Employed,3,0.49,1,0,Approved,0.0
APP000202,CUST000202,2025-06-12,Home_Loan,7260588.57,240,Student,3,0.334,0,1,Approved,0.0
APP000203,CUST000203,2024-01-29,Home_Loan,1913314.86,240,Salaried,3,0.724,2,20,Approved,0.0
APP000204,CUST000204,2024-10-26,Auto_Loan,396498.11,36,Self_Employed,1,0.223,2,62,Approved,0.0
APP000205,CUST000205,2024-03-12,Home_Loan,8766917.67,300,Self_Employed,1,0.162,0,11,Approved,0.0
APP000206,CUST000206,2024-08-10,Home_Loan,8997562.04,300,Salaried,1,0.111,5,10,Rejected,
APP000207,CUST000207,2024-10-14,Home_Loan,3854605.98,180,Salaried,1,0.569,1,63,Approved,0.0
APP000208,CUST000208,2024-05-05,Credit_Card,305706.79,0,Salaried,2,0.117,5,25,Approved,0.0
APP000209,CUST000209,2025-07-03,Credit_Card,164345.13,0,Self_Employed,1,0.264,1,15,Approved,0.0
APP000210,CUST000210,2025-04-06,Home_Loan,9615310.06,240,Salaried,0,0.799,1,7,Approved,1.0
APP000211,CUST000211,2023-11-18,Auto_Loan,1655498.38,84,Business_Owner,1,0.523,2,3,Approved,0.0
APP000212,CUST000212,2024-06-29,Credit_Card,57294.7,0,Salaried,3,0.249,5,11,Approved,1.0
APP000213,CUST000213,2025-02-27,Home_Loan,7931241.89,120,Self_Employed,0,0.136,1,17,Rejected,
APP000214,CUST000214,2025-04-26,Home_Loan,4407925.33,300,Salaried,4,0.781,3,2,Approved,0.0
APP000215,CUST000215,2023-11-15,Business_Loan,577206.17,48,Retired,2,0.538,5,2,Approved,1.0
APP000216,CUST000216,2025-09-26,Credit_Card,246576.92,0,Salaried,3,0.679,2,4,Rejected,
APP000217,CUST000217,2024-05-24,Auto_Loan,1334776.31,36,Retired,2,0.124,3,8,Approved,0.0
APP000218,CUST000218,2024-06-19,Personal_Loan,508655.96,36,Salaried,3,0.168,0,0,Approved,0.0
APP000219,CUST000219,2024-08-27,Personal_Loan,700176.52,36,Salaried,2,0.598,2,4,Approved,0.0
APP000220,CUST000220,2025-06-06,Home_Loan,5375341.59,180,Salaried,1,0.498,5,87,Rejected,
APP000221,CUST000221,2025-09-08,Credit_Card,379486.31,0,Business_Owner,3,0.69,3,15,Approved,0.0
APP000222,CUST000222,2024-12-29,Business_Loan,2680141.7,24,Salaried,1,0.746,3,0,Approved,0.0
APP000223,CUST000223,2024-09-12,Personal_Loan,848166.81,48,Salaried,4,0.722,4,41,Rejected,
APP000224,CUST000224,2023-12-14,Auto_Loan,1053076.34,60,Salaried,3,0.682,1,1,Approved,0.0
APP000225,CUST000225,2025-04-05,Personal_Loan,944828.25,12,Salaried,1,0.251,0,7,Rejected,
APP000226,CUST000226,2025-01-18,Home_Loan,5196585.21,240,Student,2,0.295,2,21,Approved,0.0
APP000227,CUST000227,2025-08-11,Credit_Card,138837.58,0,Salaried,1,0.141,3,3,Approved,0.0
APP000228,CUST000228,2024-08-24,Auto_Loan,1378119.81,48,Salaried,3,0.206,2,17,Approved,0.0
APP000229,CUST000229,2024-09-10,Credit_Card,415088.75,0,Salaried,2,0.327,4,1,Approved,0.0
APP000230,CUST000230,2025-10-29,Home_Loan,8788919.73,120,Self_Employed,1,0.701,3,34,Rejected,
APP000231,CUST000231,2024-11-30,Auto_Loan,822569.02,60,Salaried,1,0.276,0,4,Approved,0.0
APP000232,CUST000232,2024-12-03,Personal_Loan,555927.85,36,Salaried,0,0.416,4,8,Approved,0.0
APP000233,CUST000233,2025-01-21,Credit_Card,135714.36,0,Salaried,2,0.707,1,29,Approved,0.0
APP000234,CUST000234,2023-11-28,Personal_Loan,106428.61,24,Self_Employed,0,0.552,1,15,Approved,0.0
APP000235,CUST000235,2023-12-26,Auto_Loan,1952896.52,60,Salaried,4,0.224,2,30,Rejected,
APP000236,CUST000236,2024-08-19,Personal_Loan,636845.29,60,Retired,1,0.105,3,1,Approved,0.0
APP000237,CUST000237,2025-02-11,Personal_Loan,127507.87,12,Salaried,0,0.251,0,8,Approved,1.0
APP000238,CUST000238,2024-11-23,Home_Loan,8181288.2,120,Salaried,4,0.497,1,0,Approved,0.0
APP000239,CUST000239,2025-08-27,Personal_Loan,729124.72,12,Salaried,0,0.422,0,22,Rejected,
APP000240,CUST000240,2025-08-06,Home_Loan,4677959.76,180,Salaried,3,0.484,2,0,Approved,1.0
APP000241,CUST000241,2024-04-29,Home_Loan,4272847.8,300,Salaried,3,0.206,0,0,Approved,0.0
APP000242,CUST000242,2025-08-22,Personal_Loan,454668.55,48,Salaried,2,0.754,2,6,Approved,0.0
APP000243,CUST000243,2024-05-28,Home_Loan,2631202.65,120,Salaried,2,0.794,1,19,Rejected,
APP000244,CUST000244,2025-01-27,Credit_Card,399411.91,0,Self_Employed,2,0.303,2,2,Approved,0.0
APP000245,CUST000245,2024-05-30,Personal_Loan,134394.15,48,Student,4,0.169,2,2,Rejected,
APP000246,CUST000246,2024-04-15,Credit_Card,339650.68,0,Salaried,0,0.774,2,2,Approved,0.0
APP000247,CUST000247,2024-09-16,Auto_Loan,823372.53,84,Self_Employed,3,0.306,5,0,Rejected,
APP000248,CUST000248,2024-05-11,Home_Loan,1331034.93,120,Salaried,1,0.363,0,2,Rejected,
